OBJECTID,x_coord,y_coord,windspeed spring baseline lower,windspeed spring baseline median,windspeed spring baseline upper,windspeed spring 2.0 lower,windspeed spring 2.0 median,windspeed spring 2.0 upper,windspeed spring 4.0 lower,windspeed spring 4.0 median,windspeed spring 4.0 upper,windspeed summer baseline lower,windspeed summer baseline median,windspeed summer baseline upper,windspeed summer 2.0 lower,windspeed summer 2.0 median,windspeed summer 2.0 upper,windspeed summer 4.0 lower,windspeed summer 4.0 median,windspeed summer 4.0 upper,windspeed autumn baseline lower,windspeed autumn baseline median,windspeed autumn baseline upper,windspeed autumn 2.0 lower,windspeed autumn 2.0 median,windspeed autumn 2.0 upper,windspeed autumn 4.0 lower,windspeed autumn 4.0 median,windspeed autumn 4.0 upper,windspeed winter baseline lower,windspeed winter baseline median,windspeed winter baseline upper,windspeed winter 2.0 lower,windspeed winter 2.0 median,windspeed winter 2.0 upper,windspeed winter 4.0 lower,windspeed winter 4.0 median,windspeed winter 4.0 upper,Shape__Area,Shape__Length
16,17500,507500,4.0034637,4.2634363,4.4271193,3.8377151,3.9210129,4.092829,3.7515168,3.9494545,4.110187,3.6149545,3.7109675,3.7912304,3.2455814,3.3983257,3.4682624,3.2028453,3.3173237,3.434852,3.7086632,3.8607593,3.9439607,3.3928933,3.5765386,3.595508,3.345853,3.52481,3.5757263,4.286542,4.4763174,4.6352496,3.8940625,4.1624007,4.2520742,3.990046,4.159314,4.423489,73137730.980957,34208.2655910749
17,17500,512500,4.4489403,4.6812663,4.8858004,4.280533,4.373544,4.573157,4.194296,4.415024,4.583967,3.9238884,4.021995,4.115715,3.5679162,3.6828907,3.8189442,3.4909801,3.6300519,3.7364094,4.407565,4.517281,4.638645,4.0535517,4.2557144,4.2787547,4.080494,4.2577333,4.306033,5.0335345,5.253274,5.3852434,4.689681,4.9569783,5.0521255,4.770049,4.9516444,5.25329,73296249.8681641,34245.3169733759
18,17500,517500,4.331685,4.5571837,4.8028703,4.1753173,4.2890635,4.5056925,4.075404,4.3088923,4.506641,3.863734,3.991878,4.0785832,3.5130615,3.6431758,3.7617066,3.4423032,3.577922,3.7104676,4.33236,4.428056,4.5909843,4.009962,4.1663537,4.2364845,4.0569944,4.2364893,4.274843,4.9550576,5.2245717,5.3988795,4.6354923,4.95546,5.0340114,4.727248,4.945159,5.2528048,73455373.1333008,34282.4693474614
19,17500,522500,4.330659,4.5572357,4.8122077,4.1242843,4.236271,4.4621916,4.0059824,4.233004,4.455578,3.8895943,4.0083995,4.1033363,3.4797425,3.6295197,3.7440503,3.4109395,3.5579238,3.6992936,4.3337884,4.431187,4.589381,3.9748187,4.13785,4.1803827,4.0098386,4.1861744,4.236708,4.9883556,5.2625203,5.443919,4.6023808,4.954007,5.0080333,4.68652,4.9223065,5.226166,73615103.7807617,34319.7230844778
20,17500,527500,4.504451,4.7748713,5.0244327,4.271019,4.378833,4.580249,4.112338,4.354987,4.572329,4.0808244,4.223194,4.3130164,3.6357207,3.7867234,3.9149327,3.5413387,3.6862328,3.8464665,4.2833085,4.4051614,4.5498743,3.85153,4.034269,4.1111255,3.8452172,4.059397,4.1259146,4.879447,5.160342,5.326479,4.42134,4.7953086,4.8578453,4.531852,4.787767,5.1081204,73775444.8237305,34357.0785574764
21,17500,532500,4.2019515,4.4502473,4.667246,4.011569,4.0834575,4.2812667,3.8828113,4.099755,4.2758026,3.7915063,3.9257693,3.9982738,3.410476,3.5433316,3.6467845,3.3380883,3.4620972,3.595695,3.9972568,4.148101,4.248721,3.6524606,3.804313,3.8567958,3.619889,3.805327,3.8519816,4.582092,4.784068,4.9373083,4.191693,4.463032,4.53256,4.2601066,4.472483,4.70518,73936399.3032227,34394.5361413122
22,17500,547500,4.796278,5.0042977,5.2599754,4.7425675,4.8186045,5.054052,4.6344094,4.8591347,5.080698,4.156435,4.300163,4.3867598,3.9083176,4.062194,4.2016006,3.815316,3.9843159,4.0956035,4.755912,4.8844237,5.0217996,4.512339,4.729049,4.7647576,4.5479736,4.7348795,4.805469,5.4087186,5.6295404,5.756095,5.185599,5.5110536,5.622603,5.281415,5.495124,5.8200526,74422974.0014648,34507.5253348851
23,22500,492500,5.0970864,5.371509,5.6094127,4.9124384,5.023502,5.2527065,4.841793,5.054136,5.265754,4.569132,4.6849055,4.7883387,4.152466,4.2883215,4.419031,4.091529,4.249923,4.3907003,5.1489024,5.2815676,5.4575124,4.770883,4.982463,5.0494943,4.8030987,5.0133986,5.050033,5.8527927,6.139226,6.325486,5.490258,5.7986994,5.8844485,5.6089025,5.846261,6.099169,72685492.6176758,34102.3404884237
24,22500,497500,5.077025,5.3295155,5.6096563,4.924573,5.1046576,5.3800387,4.8378797,5.1162515,5.397858,4.455656,4.6135383,4.7249546,4.125924,4.2965403,4.429882,4.0112658,4.167263,4.330677,5.303876,5.3727922,5.596465,4.977102,5.184619,5.208032,5.104654,5.2855406,5.370198,6.0643034,6.38968,6.615014,5.7743764,6.200686,6.2988496,5.89006,6.191648,6.605976,72842301.4086914,34139.1060970856
25,22500,502500,4.2095532,4.4665203,4.733863,4.05443,4.2267385,4.443929,3.956468,4.217488,4.470217,3.811459,3.9433007,4.0414143,3.4674,3.6209989,3.74311,3.3872025,3.5309472,3.6992652,4.147398,4.2388964,4.433681,3.828339,3.9993465,4.090947,3.8721917,4.0933986,4.155549,4.787819,5.0991488,5.312776,4.4541306,4.8775826,4.947693,4.581779,4.8737745,5.183722,72999706.2026367,34175.9716682763
26,22500,507500,4.277915,4.519912,4.749204,4.1180954,4.240653,4.4359155,4.049561,4.2641244,4.4531474,3.885264,4.010129,4.084424,3.5412738,3.6654365,3.773952,3.48288,3.605275,3.7387822,4.166525,4.2911315,4.438777,3.859758,4.012256,4.082466,3.8585594,4.065114,4.089996,4.756198,5.009761,5.195189,4.4089904,4.7323017,4.819785,4.50762,4.746966,5.0061707,73157709.9462891,34212.9375681454
27,22500,512500,4.2682676,4.51713,4.7724943,4.110587,4.265458,4.494773,4.0437136,4.263063,4.4931307,3.8761992,3.9878197,4.1017447,3.5273354,3.6582375,3.7660847,3.4604588,3.582922,3.7250361,4.3478355,4.424101,4.6135917,4.0653486,4.1880193,4.2592363,4.087301,4.2652946,4.348798,4.974433,5.2411637,5.470684,4.675061,5.021917,5.071537,4.7641706,5.003417,5.315509,73316315.6064453,34250.004164641
28,22500,517500,3.9218068,4.166545,4.4111366,3.7807174,3.9048595,4.137922,3.6938312,3.9076912,4.1168647,3.5437171,3.653289,3.7602005,3.2009044,3.3369985,3.4442577,3.1272526,3.261052,3.4010994,3.8861442,3.9902413,4.162466,3.6230469,3.7297497,3.81479,3.610291,3.7887886,3.849366,4.5035253,4.7663374,4.967693,4.2127256,4.5471296,4.6039805,4.295842,4.514517,4.799679,73475526.1665039,34287.1718275798
29,22500,522500,4.13906,4.3804617,4.6113334,3.9374433,4.0348377,4.2608514,3.8329728,4.0357814,4.2388635,3.7808158,3.8863304,4.0010605,3.3641438,3.5178463,3.626978,3.308536,3.446608,3.5896447,4.008967,4.1222105,4.282984,3.6748574,3.7859943,3.886752,3.659,3.8504124,3.880537,4.640887,4.881103,5.0683937,4.2491302,4.579317,4.6373754,4.337269,4.557496,4.8315916,73635344.6308594,34324.4409285664
30,22500,527500,4.7950068,5.1012588,5.3614297,4.6052856,4.722916,4.9585614,4.4487267,4.7074924,4.9385777,4.427297,4.5616794,4.69722,3.984715,4.1541677,4.285547,3.8873017,4.036011,4.2117596,4.5012684,4.634327,4.802736,4.101211,4.29841,4.382724,4.079348,4.3315954,4.3603544,5.0788183,5.383524,5.567669,4.6604705,5.059455,5.1365423,4.7764573,5.0744524,5.4042287,73795774.0219727,34361.8118411161
31,22500,532500,4.2770166,4.5332117,4.7510195,4.0305996,4.122254,4.315727,3.9148362,4.1241336,4.3016176,3.9081745,4.036532,4.1249094,3.4769745,3.6074593,3.7009416,3.394238,3.5100293,3.6370392,3.9999337,4.137395,4.2657576,3.5921345,3.756539,3.8032677,3.5532386,3.7674167,3.7768283,4.541517,4.761051,4.926118,4.0829926,4.3758144,4.47189,4.161354,4.407468,4.6409483,73956817.3779297,34399.2849405562
32,22500,542500,4.5269074,4.767524,5.0403395,4.288846,4.4251146,4.6356096,4.2143316,4.4239564,4.644633,4.1097918,4.2661743,4.3499107,3.7143722,3.841394,3.9556262,3.5936027,3.7651763,3.892596,4.3945975,4.534606,4.7179365,4.020747,4.1806803,4.266133,4.025079,4.225794,4.2650013,5.0176935,5.302492,5.484221,4.588649,4.9359274,5.032073,4.689724,4.9688563,5.2561264,74280758.2495117,34474.5392109239
33,22500,547500,4.9304934,5.1716375,5.4820766,4.76426,4.908794,5.1688447,4.68237,4.9174595,5.196846,4.461978,4.635211,4.7170086,4.1230826,4.277494,4.3846893,3.98218,4.196935,4.329959,4.9559164,5.071748,5.289613,4.64105,4.7830396,4.8712983,4.6713533,4.885357,4.95214,5.602838,5.9296074,6.1214495,5.262026,5.651742,5.748967,5.3735056,5.6765127,6.0262995,74443661.9404297,34512.3211419627
34,22500,552500,4.9220867,5.150763,5.4936566,4.8916163,5.084433,5.3742623,4.8262243,5.0973425,5.3875494,4.393615,4.576162,4.6558924,4.1788964,4.348528,4.4612875,4.023715,4.240357,4.387532,5.006259,5.1068583,5.366664,4.8530664,4.9876127,5.0647573,4.887967,5.0957804,5.1967325,5.685487,6.030625,6.280118,5.541732,5.993306,6.086182,5.659665,5.97927,6.39509,74607191.9541016,34550.2067801582
35,27500,492500,4.475917,4.7379804,4.968458,4.292308,4.45314,4.65936,4.2602143,4.445521,4.6395626,4.027093,4.1309786,4.253051,3.6489022,3.7684028,3.869414,3.5801778,3.6949935,3.8260639,4.5335493,4.6192245,4.8520966,4.175784,4.2868323,4.382497,4.175067,4.373417,4.471858,5.2071924,5.519409,5.743657,4.8516836,5.196733,5.2877107,4.956939,5.206598,5.5095954,72704964.1508789,34106.9079543949
36,27500,497500,4.4140396,4.6731706,4.949378,4.2218323,4.386602,4.663266,4.1554537,4.396372,4.660321,3.9682636,4.06425,4.20698,3.573398,3.7322898,3.825108,3.4954803,3.6194592,3.781346,4.5630517,4.634152,4.861612,4.229207,4.368632,4.4631624,4.280954,4.4600906,4.5202727,5.270933,5.5737915,5.80514,4.9597282,5.328612,5.4174423,5.0634923,5.3173113,5.656581,72861857.1201172,34143.6883678196
37,27500,502500,3.768097,4.0277376,4.271199,3.62886,3.755481,3.9843056,3.5460668,3.7580917,3.9805317,3.4010742,3.5176075,3.6170888,3.0693736,3.1994178,3.3096442,2.9987118,3.118547,3.269062,3.6705234,3.762045,3.9536107,3.3634124,3.4840932,3.6003551,3.3650131,3.5538368,3.594707,4.2516975,4.525631,4.7167654,3.9425373,4.2968125,4.355989,4.0393467,4.2896266,4.5845323,73019346.59375,34180.5688161726
38,27500,507500,3.9040089,4.1440763,4.359846,3.795171,3.906529,4.1086197,3.733303,3.9108512,4.096372,3.5081456,3.6121821,3.702814,3.2041764,3.3308167,3.4215286,3.1448178,3.244533,3.3771527,3.8544617,3.9407887,4.105299,3.591648,3.6955712,3.7808082,3.5777435,3.7450314,3.812833,4.4285283,4.6614428,4.8670325,4.149743,4.4332304,4.507889,4.2062597,4.443885,4.6881056,73177435.5234375,34217.5496660406
39,27500,512500,3.6579869,3.8889427,4.100175,3.5555654,3.6782002,3.8379006,3.485545,3.6447175,3.8286793,3.2433681,3.3247097,3.4213753,2.9255881,3.0681176,3.1474597,2.8758366,2.9788802,3.0951834,3.5591424,3.646202,3.7947266,3.2987695,3.4016826,3.484954,3.2618644,3.415273,3.4764946,4.1311364,4.3606358,4.511973,3.8614821,4.1382875,4.2234592,3.9336305,4.1173897,4.3948193,73336126.8789063,34254.6312858374
40,27500,517500,3.771127,3.989877,4.1854334,3.62728,3.7493587,3.9018784,3.5547726,3.7122102,3.882525,3.3629386,3.4501233,3.5412076,3.0173297,3.161951,3.2402453,2.9822252,3.087728,3.2001414,3.62091,3.7055755,3.8527255,3.3302238,3.4265678,3.5079207,3.298251,3.4430275,3.495319,4.177078,4.3940954,4.535922,3.8688114,4.1389065,4.221985,3.9352546,4.116385,4.389797,73495423.6513672,34291.8140458168
41,27500,522500,4.2125998,4.455353,4.6633463,4.0670843,4.1957083,4.371211,3.9830563,4.1634665,4.346282,3.863395,3.955864,4.071037,3.4756389,3.644446,3.744445,3.432198,3.556707,3.6999602,3.9511523,4.051901,4.209792,3.639625,3.7680907,3.8563914,3.6012397,3.7828777,3.8381393,4.5173697,4.7391787,4.908906,4.1706505,4.4925117,4.5744047,4.2633033,4.48064,4.7562323,73655328.8442383,34329.0983180442
42,27500,527500,4.6498704,4.942976,5.1863465,4.5745473,4.695932,4.9302135,4.4540434,4.690333,4.9128566,4.3128386,4.4304442,4.5808473,3.9602394,4.138888,4.2522893,3.8809733,4.014247,4.1744137,4.346664,4.489691,4.654247,4.049405,4.2415767,4.3262773,4.031211,4.2689915,4.303161,4.8823223,5.1785345,5.3432226,4.5863867,4.981916,5.076974,4.704234,4.9911003,5.3133626,73815845.484375,34366.4844764914
43,27500,532500,4.123721,4.36956,4.578801,3.9174733,4.021128,4.2023535,3.8287988,4.0289297,4.200988,3.7754161,3.898796,3.982226,3.3838553,3.5178535,3.5973945,3.2905674,3.4085476,3.5467236,3.83013,3.9687634,4.106263,3.4491627,3.6427026,3.6754596,3.4327245,3.6236215,3.6446922,4.320983,4.552006,4.7025385,3.913957,4.2041507,4.3284307,4.0010366,4.241315,4.4920015,73976976.6157227,34403.9728969478
44,27500,537500,4.290582,4.510449,4.717656,4.131371,4.2290955,4.424166,4.0686226,4.2477837,4.407319,3.844136,3.9836135,4.035983,3.5135105,3.6481247,3.7219646,3.4204926,3.5812325,3.670316,4.140121,4.262767,4.404886,3.820551,3.9854,4.036696,3.8064651,3.9835682,4.0050855,4.703822,4.914035,5.0715365,4.3562827,4.614861,4.719265,4.438006,4.634715,4.909528,74138725.3032227,34441.5639571159
45,27500,542500,4.247121,4.470134,4.7303076,4.0652666,4.193401,4.415755,3.996554,4.183274,4.3978324,3.7674057,3.9255652,3.983684,3.4280822,3.554154,3.6435513,3.296948,3.4711356,3.5785308,4.2048326,4.2979116,4.493707,3.8681233,3.9694164,4.0491776,3.8709133,4.0464463,4.101907,4.7881656,5.066119,5.2520103,4.439649,4.7841067,4.8848977,4.5428066,4.7741356,5.1242037,74301094.6293945,34479.2580365691
46,27500,547500,4.250835,4.485186,4.757451,4.037592,4.1732836,4.390567,3.9613519,4.156429,4.3805094,3.8107846,3.9464805,4.016487,3.4230218,3.5479877,3.6501992,3.2926688,3.457809,3.5668793,4.2107625,4.3037586,4.515278,3.8423858,3.9267285,4.0429263,3.8213947,4.010562,4.078835,4.826761,5.124744,5.3211718,4.4306335,4.7747984,4.8730936,4.50362,4.781511,5.117339,74464087.6962891,34517.0555167851
47,27500,552500,4.385304,4.615341,4.9061747,4.1422796,4.279147,4.522761,4.0582867,4.2604504,4.501254,3.886516,4.0351377,4.101445,3.4771976,3.6100612,3.7189903,3.350633,3.5207286,3.632338,4.399015,4.4780626,4.698108,4.005734,4.098986,4.170842,4.0135145,4.168736,4.243514,5.030202,5.3335943,5.540614,4.630103,4.97865,5.0747766,4.692857,4.952756,5.3276777,74627707.625,34554.9567811642
48,32500,487500,4.2531047,4.4691777,4.619454,4.069537,4.183961,4.3461623,4.0062904,4.2064853,4.3688393,3.6819603,3.796329,3.8911672,3.379701,3.4650798,3.5752869,3.2879968,3.438582,3.5214615,4.186918,4.2751694,4.4102583,3.8372262,3.9915059,4.0338717,3.8509903,4.010892,4.0903873,4.7851915,5.014888,5.1372714,4.4241867,4.716797,4.8051033,4.5290337,4.699816,5.0041666,72567803.1098633,34074.7207586374
49,32500,492500,3.8259454,4.0464563,4.270496,3.6605294,3.796009,3.9679446,3.6016312,3.7790256,3.978302,3.2937732,3.42162,3.510736,2.9774842,3.0678918,3.1719594,2.894453,3.0029426,3.1118815,3.8422306,3.8770378,4.0669775,3.4825294,3.6064124,3.6753662,3.5126748,3.646689,3.7378964,4.420792,4.71255,4.900167,4.089982,4.478261,4.556196,4.2026463,4.410956,4.773368,72724185.1289063,34111.4160470816
50,32500,497500,3.548703,3.7791164,3.9720902,3.4415963,3.5786986,3.7184691,3.385062,3.5329938,3.718743,3.146691,3.2264354,3.312373,2.8496394,2.9760888,3.0532577,2.8140037,2.898838,3.0009885,3.4497113,3.518369,3.6835659,3.178369,3.2780437,3.380837,3.1636825,3.30477,3.3724964,4.0071573,4.2354903,4.39507,3.733998,4.0145216,4.1212053,3.8114638,4.003762,4.2881594,72881161.2128906,34148.2110767282
51,32500,502500,3.480173,3.7137837,3.886602,3.3886273,3.510683,3.6439502,3.327385,3.4806056,3.6399827,3.088486,3.1790965,3.2508736,2.8086426,2.9255402,3.0030777,2.766809,2.8536012,2.9614754,3.3311749,3.4043255,3.542195,3.0637836,3.1689522,3.258969,3.048829,3.1930828,3.2371967,3.8202472,4.0311275,4.180295,3.588813,3.829659,3.9008546,3.6180954,3.803843,4.062197,73038734.2998047,34185.1062128006
52,32500,507500,3.5241795,3.743052,3.9197986,3.4316583,3.54609,3.678136,3.3886917,3.5290115,3.6844997,3.1354418,3.2190018,3.292172,2.857266,2.9804785,3.053161,2.8212578,2.908197,3.012524,3.3709538,3.4448216,3.574369,3.0960526,3.2028165,3.2869675,3.0801969,3.2202106,3.2834613,3.8484814,4.0463247,4.191496,3.607315,3.828556,3.917717,3.6443481,3.8085942,4.0733414,73196907.3427734,34222.1018223296
53,32500,512500,3.710915,3.921301,4.098162,3.5794168,3.6942165,3.8305397,3.527446,3.6790924,3.8398926,3.3299305,3.41513,3.4976425,3.007567,3.1456695,3.2154183,2.9826674,3.0808644,3.188311,3.569471,3.646373,3.7731693,3.2699285,3.372245,3.4593143,3.2596066,3.3986278,3.4607368,4.0651503,4.261655,4.3958893,3.7757077,4.0126896,4.097842,3.8286438,3.9954503,4.2622457,73355683.315918,34259.1982741684
54,32500,517500,3.9186814,4.143279,4.3242164,3.743974,3.851492,4.0092955,3.6749485,3.8394523,4.0086975,3.5630183,3.6525314,3.754377,3.178395,3.3264499,3.4028563,3.1474414,3.2534637,3.3779526,3.7479732,3.8262894,3.956337,3.3958583,3.5190005,3.5994973,3.3879616,3.5307815,3.59376,4.2535596,4.4515963,4.5855017,3.8906307,4.167083,4.246925,3.9640286,4.1486735,4.418439,73515065.2119141,34296.3959390078
55,32500,522500,3.9519641,4.185582,4.367231,3.7833004,3.8762481,4.0619946,3.705436,3.8866658,4.05226,3.6047657,3.7026343,3.8194757,3.2217572,3.374001,3.4599395,3.1870885,3.2992673,3.4317527,3.7611866,3.8564124,3.9822063,3.4044647,3.5592568,3.6170814,3.3992195,3.560042,3.6047356,4.24913,4.4521484,4.5846415,3.8861675,4.155203,4.2527895,3.9711165,4.1680713,4.4292545,73675056.0410156,34333.6951893836
56,32500,527500,3.7926095,4.024423,4.2140303,3.6702473,3.7670283,3.956347,3.5893052,3.7875829,3.9529896,3.4524982,3.56678,3.669588,3.1277616,3.2650979,3.3571053,3.0664916,3.18863,3.3125336,3.6041694,3.7035756,3.8435733,3.2989707,3.4570327,3.5220027,3.2966266,3.477845,3.514482,4.066312,4.2832427,4.428111,3.7580132,4.0530224,4.1592526,3.852656,4.070762,4.350658,73835658.831543,34371.0963997022
57,32500,532500,3.835443,4.0589056,4.2401676,3.698141,3.79976,3.9694734,3.639286,3.8299737,3.9715137,3.466252,3.5952942,3.6492,3.1561391,3.2901368,3.3602035,3.077947,3.2040963,3.3091693,3.5929172,3.7238326,3.8443122,3.2919984,3.4676158,3.5013797,3.2846558,3.4510312,3.4800973,4.074765,4.26681,4.40238,3.7487366,4.0144687,4.1208763,3.8395705,4.034426,4.29756,73996876.6342773,34408.5999462138
